,GAME_DATE_EST,GAME_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,NAME_HOME,COACH_HOME,NAME_AWAY,COACH_AWAY
107,2/26/2022,22100908,2021,1610612748,133,0.566,0.711,0.429,25,32,1610612759,129,0.556,0.789,0.452,33,46,1,Heat,Erik Spoelstra,Spurs,Gregg Popovich
108,2/26/2022,22100909,2021,1610612741,110,0.419,0.767,0.45,17,41,1610612763,116,0.44,0.808,0.304,23,61,0,Bulls,Jim Boylen,Grizzlies,Taylor Jenkins
109,2/26/2022,22100910,2021,1610612749,123,0.526,0.658,0.421,24,43,1610612751,126,0.478,0.758,0.382,24,40,0,Bucks,Mike Budenholzer,Nets,Kenny Atkinson
110,2/26/2022,22100911,2021,1610612743,115,0.463,0.793,0.372,29,45,1610612758,110,0.427,0.758,0.3,24,45,1,Nuggets,Michael Malone,Kings,Luke Walton
111,2/25/2022,22100896,2021,1610612766,125,0.553,0.667,0.375,34,52,1610612761,93,0.44,0.565,0.261,18,36,1,Hornets,James Borrego,Raptors,Nick Nurse
112,2/25/2022,22100897,2021,1610612754,125,0.485,0.591,0.378,31,51,1610612760,129,0.495,0.75,0.355,23,54,0,Pacers,Nate McMillan,Thunder,Billy Donovan
113,2/25/2022,22100898,2021,1610612753,119,0.506,0.759,0.361,20,54,1610612745,111,0.468,0.45,0.298,22,41,1,Magic,Steve Clifford,Rockets,Mike D'Antoni
114,2/25/2022,22100899,2021,1610612764,153,0.546,0.792,0.421,36,39,1610612759,157,0.543,0.791,0.31,35,50,0,Wizards,Scott Brooks,Spurs,Gregg Popovich
115,2/25/2022,22100900,2021,1610612752,100,0.4,0.722,0.35,19,45,1610612748,115,0.47,0.743,0.344,22,44,0,Knicks,David Fizdale,Heat,Erik Spoelstra
116,2/25/2022,22100901,2021,1610612750,102,0.419,0.84,0.231,23,41,1610612755,133,0.512,0.833,0.487,30,42,0,Timberwolves,Ryan Saunders,76ers,Brett Brown
117,2/25/2022,22100902,2021,1610612756,102,0.439,0.75,0.3,23,37,1610612740,117,0.437,0.805,0.276,21,53,0,Suns,Monty Williams,Pelicans,Alvin Gentry
118,2/25/2022,22100903,2021,1610612762,114,0.541,0.818,0.421,22,44,1610612742,109,0.477,1,0.436,22,30,1,Jazz,Quin Snyder,Mavericks,Rick Carlisle
119,2/25/2022,22100904,2021,1610612747,102,0.419,0.762,0.258,18,47,1610612746,105,0.494,0.684,0.385,25,47,0,Lakers,Frank Vogel,Clippers,Doc Rivers
120,2/24/2022,22100889,2021,1610612765,106,0.407,0.893,0.324,23,49,1610612739,103,0.442,0.676,0.343,20,43,1,Pistons,Dwane Casey,Cavaliers,John Beilein
121,2/24/2022,22100890,2021,1610612751,106,0.415,0.75,0.241,25,38,1610612738,129,0.541,0.741,0.405,28,48,0,Nets,Kenny Atkinson,Celtics,Brad Stevens
122,2/24/2022,22100891,2021,1610612741,112,0.488,0.815,0.296,16,43,1610612737,108,0.423,0.667,0.286,20,45,1,Bulls,Jim Boylen,Hawks,Lloyd Pierce
123,2/24/2022,22100892,2021,1610612750,119,0.462,0.68,0.381,26,42,1610612763,114,0.388,0.725,0.29,25,59,1,Timberwolves,Ryan Saunders,Grizzlies,Taylor Jenkins
124,2/24/2022,22100893,2021,1610612760,104,0.473,0.909,0.194,22,42,1610612756,124,0.535,0.905,0.382,32,43,0,Thunder,Billy Donovan,Suns,Monty Williams
125,2/24/2022,22100894,2021,1610612757,95,0.392,0.828,0.257,16,31,1610612744,132,0.511,0.844,0.366,36,46,0,Trail Blazers,Terry Stotts,Warriors,Steve Kerr
126,2/24/2022,22100895,2021,1610612758,110,0.5,0.833,0.31,25,34,1610612743,128,0.558,0.85,0.429,30,39,0,Kings,Luke Walton,Nuggets,Michael Malone
127,2/17/2022,22100885,2021,1610612766,107,0.4,0.7,0.238,27,58,1610612748,111,0.402,0.652,0.292,31,56,0,Hornets,James Borrego,Heat,Erik Spoelstra
128,2/17/2022,22100464,2021,1610612751,103,0.404,0.708,0.368,19,42,1610612764,117,0.554,0.813,0.5,26,38,0,Nets,Kenny Atkinson,Wizards,Scott Brooks
129,2/17/2022,22100886,2021,1610612740,118,0.5,0.667,0.429,22,48,1610612742,125,0.537,0.72,0.475,18,38,0,Pelicans,Alvin Gentry,Mavericks,Rick Carlisle
