logiProb,poisProb,Obs,model
0.693629452,0.651892103,1,M6
0.541277403,0.523952813,0,M6
0.574220586,0.59075475,1,M6
0.69177347,0.652599537,0,M6
0.653089442,0.591557033,0,M6
0.540763399,0.522208632,1,M6
0.573526419,0.590161355,1,M6
0.539642337,0.522448624,1,M6
0.571585381,0.589299783,1,M6
0.692020984,0.651365519,1,M6
0.654339282,0.593498897,1,M6
0.690949666,0.652748352,1,M6
0.654456189,0.594310171,1,M6
0.740792311,0.580832545,1,M6
0.487038007,0.492894373,0,M6
0.481975098,0.597112603,1,M6
0.732577031,0.683655458,1,M6
0.739014723,0.580196216,1,M6
0.709647948,0.701852345,1,M6
0.401897476,0.449319951,0,M6
0.491319587,0.490909971,0,M6
0.514990009,0.475909455,0,M6
0.402685772,0.450476447,0,M6
0.482562219,0.597347161,1,M6
0.51436094,0.475016094,1,M6
0.488397099,0.490063149,1,M6
0.790897103,0.72269775,1,M6
0.484065775,0.596625991,0,M6
0.710261839,0.702643131,1,M6
0.734000123,0.684096825,0,M6
0.789900645,0.722377365,1,M6
0.738058544,0.580419081,0,M6
0.707824425,0.701798217,1,M6
0.733366378,0.684291805,1,M6
0.661779363,0.610597564,0,M6
0.660703949,0.563593796,1,M6
0.738153087,0.580149047,1,M6
0.568584821,0.55243253,0,M6
0.339298679,0.471180862,1,M6
0.661009858,0.612654699,1,M6
0.575844372,0.621295077,1,M6
0.773671139,0.688279855,1,M6
0.660923669,0.611860646,1,M6
0.835537235,0.69903351,1,M6
0.661672896,0.561634704,0,M6
0.571602573,0.558560545,1,M6
0.612033205,0.618023849,1,M6
0.569168799,0.551402779,1,M6
0.39283519,0.425926193,0,M6
0.339846508,0.471018521,1,M6
0.432171548,0.490342154,1,M6
0.658016886,0.610584709,1,M6
0.576916737,0.623622894,0,M6
0.485326243,0.472460058,0,M6
0.393576884,0.426142729,0,M6
0.569567107,0.552194853,1,M6
0.624225393,0.558904668,0,M6
0.657311923,0.610020559,1,M6
0.3400882,0.470723363,1,M6
0.575157161,0.623738611,1,M6
0.434051858,0.490876899,0,M6
0.486836753,0.472926201,0,M6
0.79417739,0.746035514,1,M6
0.626758614,0.559330864,0,M6
0.660161074,0.610888287,1,M6
0.835947282,0.698711291,0,M6
0.662455043,0.559591174,1,M6
0.575128211,0.559598537,0,M6
0.608854203,0.620348375,1,M6
0.729353543,0.714780764,1,M6
0.770983959,0.685247536,1,M6
0.793239663,0.745145224,1,M6
0.660862292,0.559918836,1,M6
0.573740346,0.559848927,1,M6
0.659233925,0.60908833,0,M6
0.609208407,0.620640597,0,M6
0.72990968,0.714751919,1,M6
0.76808278,0.684155991,1,M6
0.834692819,0.698788372,1,M6
0.655360948,0.593393542,1,M6
0.655169315,0.592670845,1,M6
0.576457129,0.595941013,1,M6
0.577218272,0.595719585,0,M6
0.574096911,0.594850567,1,M6
0.656190552,0.591101081,1,M6
0.655948836,0.591350996,0,M6
0.777647313,0.671590189,1,M6
0.423629695,0.505866342,1,M6
0.778025012,0.670902402,1,M6
0.42398622,0.507234563,1,M6
0.543337481,0.524036089,0,M6
0.424900289,0.506722144,0,M6
0.543757333,0.522954134,0,M6
0.777251174,0.670180951,0,M6
0.777392909,0.67044039,1,M6
0.687892749,0.664332997,1,M6
0.686368232,0.664034851,1,M6
0.587617609,0.615397113,1,M6
0.435629679,0.446130294,0,M6
0.644472332,0.575018269,1,M6
0.79900902,0.71746663,1,M6
0.700452652,0.706458836,0,M6
0.587393619,0.615395382,1,M6
0.771729973,0.71693825,1,M6
0.400734183,0.451346451,0,M6
0.526424044,0.464350773,1,M6
0.436118639,0.447098165,1,M6
0.526104614,0.463615436,1,M6
0.586625307,0.614784186,1,M6
0.401104523,0.451154074,0,M6
0.436515263,0.446488869,0,M6
0.795203936,0.718139814,1,M6
0.77247535,0.71784664,0,M6
0.700641041,0.708217295,0,M6
0.643496278,0.574783531,1,M6
0.795562677,0.717783621,0,M6
0.772630397,0.716487384,1,M6
0.701006172,0.708604899,1,M6
0.643615167,0.574512745,0,M6
0.571024155,0.5557117,0,M6
0.497759348,0.513742913,0,M6
0.538277378,0.500202327,0,M6
0.422654375,0.44244069,0,M6
0.60626007,0.516941735,1,M6
0.486551273,0.490836855,1,M6
0.66329497,0.62686815,0,M6
0.690972878,0.675399968,1,M6
0.779093169,0.734417099,0,M6
0.726267991,0.675536607,0,M6
0.736537055,0.690005589,1,M6
0.633282386,0.643361207,0,M6
0.569747919,0.555474731,1,M6
0.539340384,0.499976234,1,M6
0.422149973,0.443543845,1,M6
0.408649969,0.408590769,0,M6
0.485619877,0.490146834,1,M6
0.266515684,0.360021873,0,M6
0.496578742,0.512591665,1,M6
0.664357893,0.62684605,1,M6
0.603378871,0.516000862,1,M6
0.537202232,0.500203341,1,M6
0.421914378,0.443864781,0,M6
0.497583753,0.512701048,0,M6
0.411426081,0.408401033,0,M6
0.485895804,0.491211245,1,M6
0.267223536,0.360622814,0,M6
0.664445239,0.627572111,1,M6
0.602530377,0.515614008,1,M6
0.784903623,0.758572378,1,M6
0.779035694,0.732984117,1,M6
0.692596548,0.673900187,1,M6
0.72473879,0.676146232,1,M6
0.73802425,0.688968676,0,M6
0.877778187,0.794317837,1,M6
0.570286922,0.553916464,0,M6
0.636085757,0.644545663,1,M6
0.691468808,0.67274281,1,M6
0.78428177,0.757447999,1,M6
0.876854284,0.794531931,1,M6
0.776849492,0.73225755,1,M6
0.568674749,0.553707095,1,M6
0.63430349,0.645740975,1,M6
0.724433113,0.6760857,1,M6
0.738389924,0.689867724,1,M6
0.705948851,0.691047893,1,M6
0.513299468,0.485565106,0,M6
0.514479455,0.485582511,0,M6
0.703515263,0.690545318,0,M6
0.702624291,0.690849898,1,M6
0.571618537,0.574751107,0,M6
0.65213576,0.591160756,1,M6
0.654067182,0.609685981,1,M6
0.579980905,0.586270132,1,M6
0.572877539,0.575044799,1,M6
0.651432292,0.590111872,1,M6
0.572292732,0.576246065,1,M6
0.650420506,0.590090907,1,M6
0.652090924,0.607984201,1,M6
0.581311945,0.585631374,0,M6
0.650891883,0.607902012,1,M6
0.580424431,0.585022517,1,M6
0.432291505,0.487145097,0,M6
0.592715757,0.598914878,0,M6
0.749465438,0.701382284,1,M6
0.744103287,0.673033586,1,M6
0.773448646,0.688354597,0,M6
0.637255579,0.588626584,1,M6
0.45962786,0.472199826,0,M6
0.470678091,0.481289145,1,M6
0.430458048,0.490035396,0,M6
0.592690989,0.599154925,1,M6
0.458046536,0.472145684,1,M6
0.471467518,0.48165868,0,M6
0.432429374,0.491597596,0,M6
0.59286259,0.598292187,0,M6
0.750041635,0.701600793,1,M6
0.742715354,0.671960406,1,M6
0.772099637,0.68583932,1,M6
0.635168054,0.589768249,1,M6
0.74908328,0.70138428,1,M6
0.740875195,0.670900658,1,M6
0.636612927,0.591009533,0,M6
0.772525806,0.685295671,0,M6
0.764695087,0.716362452,1,M6
0.641051654,0.680298493,0,M6
0.789515533,0.70638976,1,M6
0.700516101,0.721126101,1,M6
0.709200608,0.658854136,1,M6
0.588767964,0.496198706,1,M6
0.43780388,0.461517453,1,M6
0.570803818,0.543628194,1,M6
0.518392172,0.445341769,0,M6
0.512511383,0.523683187,1,M6
0.408227934,0.46334484,0,M6
0.764606912,0.715854995,1,M6
0.642738294,0.679865314,1,M6
0.662168381,0.619677407,1,M6
0.738604322,0.656372452,0,M6
0.698743547,0.722177749,0,M6
0.708143914,0.658964969,1,M6
0.379446653,0.462631184,0,M6
0.790116525,0.705573643,0,M6
0.437576801,0.461517635,0,M6
0.571340535,0.542767755,1,M6
0.588322888,0.496886839,0,M6
0.510844927,0.522794276,1,M6
0.474657558,0.52534228,1,M6
0.407089157,0.463598912,0,M6
0.518021765,0.444182905,0,M6
0.4378468,0.461206647,1,M6
0.380194488,0.463343661,0,M6
0.588235185,0.496455197,1,M6
0.474560412,0.525912485,0,M6
0.571184618,0.543110937,0,M6
0.405890561,0.462831462,1,M6
0.517980492,0.443719446,1,M6
0.510653416,0.522463169,0,M6
0.807477335,0.7117714,1,M6
0.765544032,0.717485864,0,M6
0.662136378,0.620147642,0,M6
0.790199555,0.706399667,1,M6
0.642766445,0.681575004,1,M6
0.739002829,0.656648852,0,M6
0.699168622,0.723887184,0,M6
0.705812418,0.657951752,1,M6
0.739377426,0.656202724,0,M6
0.661868703,0.620149531,0,M6
0.807168564,0.711105433,1,M6
0.765710487,0.718098545,1,M6
0.790559425,0.705953267,0,M6
0.69822885,0.724840028,1,M6
0.642799928,0.681677005,0,M6
0.705536041,0.657842688,0,M6
0.392606004,0.384360091,0,M6
0.794685741,0.754828516,1,M6
0.395406546,0.384570571,0,M6
0.395244796,0.384736486,1,M6
0.79284908,0.75493559,0,M6
0.792551066,0.755078741,1,M6
0.715052123,0.71354438,1,M6
0.536971373,0.551029745,1,M6
0.505171002,0.441118357,1,M6
0.537274021,0.551325243,1,M6
0.508613404,0.442114683,0,M6
0.683048102,0.633858508,0,M6
0.713905677,0.713172077,1,M6
0.683374277,0.634155889,0,M6
0.71423068,0.713134019,1,M6
0.627943415,0.564804109,1,M6
0.455957545,0.473507106,0,M6
0.457124436,0.385033459,0,M6
0.589689486,0.570523535,0,M6
0.594602745,0.611789842,0,M6
0.749253542,0.754828732,1,M6
0.751835639,0.702835353,1,M6
0.633224553,0.613651899,1,M6
0.624715112,0.564812355,1,M6
0.454852527,0.472111952,0,M6
0.460340995,0.385075117,0,M6
0.588692082,0.568514127,0,M6
0.593536753,0.609849166,1,M6
0.455107711,0.472005195,1,M6
0.459383457,0.384019336,1,M6
0.588944929,0.569230282,1,M6
0.59126166,0.609745884,1,M6
0.62950235,0.56666274,1,M6
0.632120546,0.613506132,1,M6
0.751303486,0.702620479,1,M6
0.748696747,0.75705632,0,M6
0.632764818,0.613601552,0,M6
0.63053952,0.56738256,0,M6
0.751429738,0.702550649,0,M6
0.747604368,0.757161139,1,M6
0.585740567,0.561131715,1,M6
0.377191299,0.38440011,0,M6
0.457650412,0.511472185,0,M6
0.624811,0.616825395,0,M6
0.640430281,0.528861895,1,M6
0.808674221,0.770967574,1,M6
0.712093971,0.64230382,1,M6
0.586109025,0.562976718,0,M6
0.376894441,0.382912019,1,M6
0.750164505,0.669254622,0,M6
0.584293926,0.627668617,1,M6
0.426521909,0.489070568,0,M6
0.624615813,0.615225647,0,M6
0.556608195,0.528421193,1,M6
0.507890689,0.544646847,1,M6
0.335768026,0.343021875,0,M6
0.58453004,0.627876512,0,M6
0.376189709,0.382157589,1,M6
